EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0186,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE METALLIZATION PREP,CURE PASSIVATION,DENSIFY DIELECTRIC
valid_0187,STRIP RESIST,STRIP PHOTORESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC,VIA ETCH
valid_0188,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,CURE PASSIVATION,DENSIFY DIELECTRIC
valid_0189,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE SPACER WIDTH,MEASURE GATE CD,MEASURE OPENING CD
valid_0190,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH
valid_0191,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,HARD BAKE,VIA INSPECTION
valid_0192,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,PAD WINDOW LITHO
valid_0193,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN PAD OPENING
valid_0194,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0195,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS
valid_0196,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH
valid_0197,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0198,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP
valid_0199,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,DEPOSIT TOP METAL
valid_0200,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,DEVELOP PHOTORESIST
valid_0201,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,MEASURE DIELECTRIC THICKNESS,CMP VIA FILL
valid_0202,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0203,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 5
valid_0204,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT TOP METAL,DEPOSIT METAL 1
valid_0205,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,EXPOSE LITHO LEVEL 5,DEPOSIT BARRIER METAL,MEASURE METAL THICKNESS
valid_0206,CURE PASSIVATION,CLEAN AFTER METAL ETCH,FINAL CLEAN,ANNEAL METAL 1,BACKSIDE METALLIZATION PREP
valid_0207,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,DIELECTRIC ETCH VIA,DENSIFY DIELECTRIC
valid_0208,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0209,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,BACKSIDE ETCH CLEAN,CMP VIA FILL
valid_0210,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT INTERLAYER DIELECTRIC,MEASURE LINE WIDTH,DEPOSIT INTERLEVEL DIELECTRIC
valid_0211,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0212,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT TOP METAL,DEPOSIT METAL 1
valid_0213,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,EXPOSE LITHO LEVEL 5,IMPLANT SOURCE REGION,MEASURE METAL THICKNESS
valid_0214,CURE PASSIVATION,CLEAN AFTER METAL ETCH,BACKSIDE METALLIZATION PREP,ANNEAL DIELECTRIC,FINAL CLEAN
valid_0215,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST
valid_0216,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION LAYER,CURE PASSIVATION
valid_0217,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,HARD BAKE,DIELECTRIC ETCH VIA,CMP METAL
valid_0218,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY
valid_0219,SOFT BAKE,MEASURE BACKSIDE CONTACT,ALIGN MASK LEVEL 5,EXPOSE LITHO LEVEL 4,CLEAN AFTER POLY ETCH
valid_0220,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS
valid_0221,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE SURFACE UNIFORMITY,PRE ANNEAL CHECK,MEASURE SURFACE PARTICLES
valid_0222,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CURE PASSIVATION
valid_0223,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0224,CURE PASSIVATION,ANNEAL DIELECTRIC,MEASURE PASSIVATION THICKNESS,CLEAN AFTER METAL ETCH,BACKSIDE METALLIZATION PREP
valid_0225,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEPOSIT BARRIER METAL
valid_0226,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,MEASURE PASSIVATION THICKNESS,ANNEAL DIELECTRIC,MEASURE PASSIVATION QUALITY
valid_0227,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS
valid_0228,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT TOP METAL,DEPOSIT INTERLAYER DIELECTRIC
valid_0229,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,EXPOSE LITHO LEVEL 5,MEASURE METAL THICKNESS,DEPOSIT BARRIER METAL
valid_0230,CURE PASSIVATION,ANNEAL METAL 1,ANNEAL METAL,CLEAN AFTER METAL ETCH,ANNEAL DIELECTRIC
valid_0231,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL,ANNEAL METAL 1,ANNEAL DIELECTRIC
valid_0232,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE OPENING CD,MEASURE VIA CD
valid_0233,SOFT BAKE,EXPOSE LITHO LEVEL 4,MEASURE BACKSIDE CONTACT,ALIGN MASK LEVEL 5,CURE PASSIVATION
valid_0234,CURE PASSIVATION,CLEAN AFTER METAL ETCH,FINAL CLEAN,BACKSIDE METALLIZATION PREP,CLEAN PAD OPENING
valid_0235,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,CMP VIA FILL,MEASURE DIELECTRIC THICKNESS
valid_0236,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE VIA CD,MEASURE GATE CD
valid_0237,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,EXPOSE LITHO LEVEL 5,DEPOSIT BARRIER METAL
valid_0238,CURE PASSIVATION,CLEAN AFTER METAL ETCH,ANNEAL METAL 1,ANNEAL METAL,CLEAN PAD OPENING
valid_0239,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE SURFACE UNIFORMITY,MEASURE SURFACE PARTICLES,CMP INTERLAYER DIELECTRIC
valid_0240,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,STRIP RESIST,STRIP PHOTORESIST,ANNEAL DIELECTRIC
valid_0241,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC
valid_0242,CURE PASSIVATION,ANNEAL DIELECTRIC,BACKSIDE METALLIZATION PREP,BACKSIDE ANNEAL,DENSIFY DIELECTRIC
valid_0243,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,CMP VIA FILL,HARD BAKE
valid_0244,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,MEASURE VIA CD
valid_0245,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,IMPLANT SOURCE REGION,MEASURE METAL THICKNESS,DEPOSIT BARRIER METAL
valid_0246,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION
valid_0247,SPIN COAT PHOTORESIST,IMPLANT SOURCE REGION,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 5,MEASURE POLY THICKNESS
valid_0248,CURE PASSIVATION,DENSIFY DIELECTRIC,ANNEAL METAL 1,BACKSIDE ANNEAL,ANNEAL DIELECTRIC
valid_0249,SOFT BAKE,MEASURE BACKSIDE CONTACT,ALIGN MASK LEVEL 5,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 5
valid_0250,CURE PASSIVATION,BACKSIDE ANNEAL,ANNEAL METAL 1,ANNEAL METAL,MEASURE PASSIVATION QUALITY
valid_0251,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE SURFACE UNIFORMITY,MEASURE POLY THICKNESS,PRE ANNEAL CHECK
valid_0252,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CURE PASSIVATION
valid_0253,SPIN COAT PHOTORESIST,IMPLANT SOURCE REGION,EXPOSE LITHO LEVEL 5,MEASURE POLY THICKNESS,DEPOSIT BARRIER METAL
valid_0254,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION
valid_0255,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0256,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION
valid_0257,SPIN COAT PHOTORESIST,IMPLANT SOURCE REGION,DEPOSIT BARRIER METAL,MEASURE METAL THICKNESS,EXPOSE LITHO LEVEL 5
valid_0258,CURE PASSIVATION,CLEAN PAD OPENING,STRIP RESIST,CLEAN AFTER METAL ETCH,STRIP PHOTORESIST
valid_0259,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0260,CURE PASSIVATION,ANNEAL DIELECTRIC,BACKSIDE METALLIZATION PREP,CLEAN AFTER METAL ETCH,BACKSIDE ANNEAL
valid_0261,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0262,CURE PASSIVATION,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,FINAL CLEAN,MEASURE PASSIVATION THICKNESS
valid_0263,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,CMP VIA FILL,MEASURE DIELECTRIC THICKNESS
valid_0264,CURE PASSIVATION,BACKSIDE ANNEAL,ANNEAL METAL 1,BACKSIDE METALLIZATION PREP,ANNEAL METAL
valid_0265,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,MEASURE PASSIVATION THICKNESS
valid_0266,CURE PASSIVATION,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CLEAN AFTER METAL ETCH,FINAL CLEAN
valid_0267,SOFT BAKE,EXPOSE LITHO LEVEL 4,ALIGN MASK LEVEL 5,MEASURE BACKSIDE CONTACT,EXPOSE LITHO LEVEL 5
valid_0268,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,ANNEAL DIELECTRIC,DENSIFY DIELECTRIC,CLEAN AFTER METAL ETCH
valid_0269,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,EXPOSE LITHO LEVEL 5,MEASURE PLANARITY
valid_0270,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS,CURE PASSIVATION
valid_0271,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,MEASURE POLY THICKNESS
valid_0272,CURE PASSIVATION,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,ANNEAL METAL 1,ANNEAL DIELECTRIC
valid_0273,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC
valid_0274,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE LINE WIDTH
valid_0275,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,EXPOSE LITHO LEVEL 5,IMPLANT SOURCE REGION
valid_0276,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,ANNEAL DIELECTRIC,CLEAN AFTER METAL ETCH,MEASURE PASSIVATION THICKNESS
valid_0277,SPIN COAT PHOTORESIST,IMPLANT SOURCE REGION,EXPOSE LITHO LEVEL 5,MEASURE POLY THICKNESS,DEPOSIT BARRIER METAL
valid_0278,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION
valid_0279,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0280,CURE PASSIVATION,POLYSILICON ANNEAL,ANNEAL METAL 1,ANNEAL METAL,BACKSIDE ANNEAL
valid_0281,DENSIFY DIELECTRIC,DENSIFY OXIDE,ANNEAL METAL,CURE PASSIVATION,ANNEAL METAL 1
valid_0282,CLEAN AFTER METAL ETCH,CURE PASSIVATION,CLEAN AFTER VIA ETCH,FINAL CLEAN,CLEAN PAD OPENING
valid_0283,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,MEASURE SURFACE PARTICLES
valid_0284,CURE PASSIVATION,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,FINAL CLEAN,MEASURE PASSIVATION QUALITY
valid_0285,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE PASSIVATION THICKNESS
valid_0286,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT TOP METAL,DEPOSIT INTERLEVEL DIELECTRIC
valid_0287,EXPOSE LITHO LEVEL 5,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 6,EXPOSE LITHO LEVEL 3,SPIN COAT PHOTORESIST
valid_0288,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION LAYER,MEASURE OXIDE QUALITY
valid_0289,SPIN COAT PHOTORESIST,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0290,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT TOP METAL
valid_0291,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,EXPOSE LITHO LEVEL 5,DEPOSIT BARRIER METAL
valid_0292,CURE PASSIVATION,CLEAN AFTER METAL ETCH,BACKSIDE METALLIZATION PREP,ANNEAL DIELECTRIC,MEASURE PASSIVATION THICKNESS
valid_0293,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0294,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT TOP METAL,DEPOSIT INTERLEVEL DIELECTRIC
valid_0295,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE SURFACE UNIFORMITY
valid_0296,CURE PASSIVATION,ANNEAL METAL 1,BACKSIDE ANNEAL,ANNEAL METAL,POLYSILICON ANNEAL
valid_0297,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE PASSIVATION THICKNESS
valid_0298,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY
valid_0299,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,MEASURE SURFACE UNIFORMITY,CMP DIELECTRIC
valid_0300,CURE PASSIVATION,CLEAN AFTER METAL ETCH,BACKSIDE METALLIZATION PREP,CLEAN PAD OPENING,FINAL CLEAN
valid_0301,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE SURFACE UNIFORMITY
valid_0302,CURE PASSIVATION,BACKSIDE ANNEAL,ANNEAL METAL 1,ANNEAL METAL,ANNEAL DIELECTRIC
valid_0303,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,MEASURE OXIDE THICKNESS,MEASURE PASSIVATION THICKNESS,SPIN COAT PHOTORESIST
valid_0304,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE VIA CD,MEASURE OPENING CD
valid_0305,SPIN COAT PHOTORESIST,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0306,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS
valid_0307,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE SURFACE UNIFORMITY
valid_0308,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,ANNEAL DIELECTRIC
valid_0309,SPIN COAT PHOTORESIST,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS
valid_0310,CURE PASSIVATION,BACKSIDE ANNEAL,ANNEAL METAL 1,ANNEAL METAL,ANNEAL DIELECTRIC
valid_0311,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,MEASURE SURFACE UNIFORMITY,CMP DIELECTRIC
valid_0312,CURE PASSIVATION,BACKSIDE ANNEAL,POLYSILICON ANNEAL,ANNEAL METAL 1,ANNEAL METAL
valid_0313,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,BACKSIDE ETCH CLEAN,MEASURE PLANARITY,MEASURE SURFACE PLANARITY
valid_0314,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,PASSIVATION ETCH,DEPOSIT INTERLAYER DIELECTRIC
valid_0315,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,EXPOSE LITHO LEVEL 5,IMPLANT SOURCE REGION
valid_0316,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION THICKNESS,MEASURE GATE CD
valid_0317,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC
valid_0318,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0319,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE SURFACE UNIFORMITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0320,CURE PASSIVATION,ANNEAL DIELECTRIC,DENSIFY DIELECTRIC,BACKSIDE ANNEAL,DENSIFY OXIDE
valid_0321,SPIN COAT PHOTORESIST,IMPLANT SOURCE REGION,MEASURE POLY THICKNESS,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 5
valid_0322,CURE PASSIVATION,ANNEAL DIELECTRIC,BACKSIDE ANNEAL,BACKSIDE METALLIZATION PREP,ANNEAL METAL 1
valid_0323,SOFT BAKE,EXPOSE LITHO LEVEL 4,ALIGN MASK LEVEL 5,MEASURE BACKSIDE CONTACT,EXPOSE LITHO LEVEL 5
valid_0324,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,OPEN PAD WINDOW LITHO,DEVELOP PAD WINDOW,PAD WINDOW LITHO
valid_0325,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,CMP VIA FILL,DENSIFY OXIDE
valid_0326,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT FIELD OXIDE
valid_0327,SPIN COAT PHOTORESIST,EXPOSE LITHO LEVEL 5,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,IMPLANT SOURCE REGION
valid_0328,CURE PASSIVATION,BACKSIDE ANNEAL,ANNEAL DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE
valid_0329,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE SURFACE UNIFORMITY,MEASURE SURFACE PARTICLES,MEASURE POLY THICKNESS
valid_0330,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0331,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,PRE ANNEAL CHECK,RAPID THERMAL ANNEAL,MEASURE SURFACE UNIFORMITY
valid_0332,CURE PASSIVATION,ANNEAL METAL 1,ANNEAL METAL,BACKSIDE ANNEAL,ANNEAL DIELECTRIC
valid_0333,DENSIFY DIELECTRIC,DENSIFY OXIDE,STRIP RESIST,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0334,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY
valid_0335,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,SPIN COAT PHOTORESIST,CMP VIA FILL
valid_0336,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER,MEASURE FILM THICKNESS,DEPOSIT PASSIVATION
valid_0337,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,CMP VIA FILL,HARD BAKE
valid_0338,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT TOP METAL,DEPOSIT METAL 1
valid_0339,SOFT BAKE,ALIGN MASK LEVEL 5,MEASURE BACKSIDE CONTACT,EXPOSE LITHO LEVEL 4,CURE PASSIVATION
valid_0340,CURE PASSIVATION,ANNEAL METAL 1,ANNEAL METAL,BACKSIDE ANNEAL,CLEAN AFTER METAL ETCH
valid_0341,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,DEPOSIT BARRIER METAL,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC
valid_0342,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CURE PASSIVATION,FINAL CLEAN,OPEN PAD WINDOW LITHO
valid_0343,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC
valid_0344,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0345,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 5
valid_0346,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,CURE PASSIVATION,MEASURE OXIDE QUALITY
valid_0347,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST,CMP METAL,MEASURE PLANARITY
valid_0348,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,DEPOSIT INTERLAYER DIELECTRIC
valid_0349,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DEVICE PARAMETER,DEPOSIT TOP METAL,DEPOSIT FIELD OXIDE
valid_0350,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER FIELD ETCH,CURE PASSIVATION,CLEAN AFTER OXIDE ETCH
valid_0351,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,CMP METAL,MEASURE PLANARITY,DEPOSIT INTERLEVEL DIELECTRIC
valid_0352,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,PASSIVATION ETCH,DEPOSIT TOP METAL
valid_0353,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 6,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE DEVICE PARAMETER,DEPOSIT INTERLAYER DIELECTRIC
valid_0354,CURE PASSIVATION,FINAL CLEAN,BACKSIDE ANNEAL,ANNEAL METAL 1,CLEAN AFTER METAL ETCH
